Date,CR
1996-04,15.588835942818244
1996-05,15.513767629281396
1996-06,15.308151093439365
1996-07,14.986910994764399
1996-08,14.627831715210357
1996-09,14.157591287636132
1996-10,13.570069752694991
1996-11,12.868801004394225
1996-12,12.104283054003725
1997-01,11.397058823529411
1997-02,10.640870616686819
1997-03,9.850746268656717
1997-04,9.128386336866901
1997-05,8.488372093023255
1997-06,7.931034482758621
1997-07,7.4558907228229945
1997-08,7.001693958215697
1997-09,6.677890011223345
1997-10,6.476828587381352
1997-11,6.395995550611791
1997-12,6.4784053156146175
1998-01,6.6006600660066
1998-02,6.885245901639345
1998-03,7.336956521739131
1998-04,7.879114948731786
1998-05,8.520900321543408
1998-06,9.211927582534612
1998-07,9.957627118644067
1998-08,10.817941952506596
1998-09,11.67806417674908
1998-10,12.585212375458834
1998-11,13.434396236278099
1998-12,14.300572022880914
1999-01,15.118679050567597
1999-02,15.899795501022496
1999-03,16.70886075949367
1999-04,17.358679339669834
1999-05,17.925925925925927
1999-06,18.381277425646026
1999-07,18.689788053949904
1999-08,18.857142857142858
1999-09,18.841262364578427
1999-10,18.723800652072658
1999-11,18.525345622119815
1999-12,18.1073703366697
2000-01,17.570596145226354
2000-02,17.071018967798853
2000-03,16.65943600867679
2000-04,16.240409207161125
2000-05,15.829145728643216
2000-06,15.444810543657331
2000-07,15.056818181818182
2000-08,14.663461538461538
2000-09,14.387633769322235
2000-10,14.083954491957632
2000-11,13.880248833592535
2000-12,13.674884437596301
2001-01,13.495996950057187
2001-02,13.413715146948002
2001-03,13.387876534027521
2001-04,13.458012467913457
2001-05,13.449023861171366
2001-06,13.414199072422406
2001-07,13.333333333333334
2001-08,13.20754716981132
2001-09,12.959112959112959
2001-10,12.689133425034388
2001-11,12.80300443837487
2001-12,12.572009488309046
2002-01,10.91703056768559
2002-02,7.408637873754152
2002-03,2.5582158084617905
2002-04,-3.490627020038785
2002-05,-9.464627151051626
2002-06,-14.43850267379679
2002-07,-17.89604730781201
2002-08,-19.938271604938272
2002-09,-20.797546012269937
2002-10,-21.025328043942633
2002-11,-21.307506053268767
2002-12,-21.342564720048163
2003-01,-20.351302241066023
2003-02,-17.909062789978346
2003-03,-14.134953629677009
2003-04,-8.807769591426657
2003-05,-2.815909890883492
2003-06,2.794117647058824
2003-07,7.12661106899166
2003-08,9.79182729375482
2003-09,11.076684740511231
2003-10,11.669242658423492
2003-11,12.038461538461538
2003-12,12.437810945273633
2004-01,12.623574144486692
2004-02,12.358703843255464
2004-03,11.769087523277468
2004-04,11.164157179581343
2004-05,10.756972111553784
2004-06,10.515021459227468
2004-07,10.261854210898797
2004-08,9.97191011235955
2004-09,9.449093444909344
2004-10,8.442906574394463
2004-11,7.071747339512529
2004-12,5.616065350578625
2005-01,4.591492234976367
2005-02,4.325955734406438
2005-03,4.631789403532156
2005-04,5.021473406012554
2005-05,5.232177894048397
2005-06,5.11326860841424
2005-07,4.781771501925546
2005-08,4.310344827586207
2005-09,3.7591589678241477
2005-10,3.382259093809828
2005-11,3.1420327027893555
2005-12,2.868192072188205
2006-01,2.291801162040026
2006-02,1.285760205721633
2006-03,0.03184713375796178
2006-04,-1.2582573136206354
2006-05,-2.3306401491609696
2006-06,-3.1711822660098523
2006-07,-3.7366003062787136
2006-08,-4.071013161922253
2006-09,-4.144918636782315
2006-10,-4.104938271604938
2006-11,-4.041032017407523
2006-12,-3.8847117794486214
2007-01,-3.692016408961818
2007-02,-3.7765788638527455
2007-03,-4.361668258516397
2007-04,-5.543166613571201
2007-05,-7.254215717467388
2007-06,-9.125596184419713
2007-07,-10.7858733693923
2007-08,-11.901723037651564
2007-09,-12.556053811659194
2007-10,-13.067267460572902
2007-11,-13.475866537091028
2007-12,-13.885267275097785
2008-01,-14.285714285714285
2008-02,-14.610817941952506
2008-03,-14.81358189081225
2008-04,-14.738617200674536
2008-05,-14.476843910806176
2008-06,-13.820853743876837
2008-07,-12.660485021398001
2008-08,-11.408909815284316
2008-09,-10.366300366300367
2008-10,-9.477971121806739
2008-11,-8.648446274803444
2008-12,-7.834973504920514
2009-01,-6.918960244648319
2009-02,-5.755117806102742
2009-03,-5.353653771004298
2009-04,-5.4984177215189876
2009-05,-5.054151624548736
2009-06,-4.38489646772229
2009-07,-4.654961208656594
2009-08,-5.110384300899427
2009-09,-5.803024111156518
2009-10,-6.257668711656442
2009-11,-6.270491803278688
2009-12,-6.324435318275154
2010-01,-7.186858316221765
2010-02,-8.278688524590164
2010-03,-7.679603633360858
2010-04,-5.818334030975303
2010-05,-4.267004647232784
2010-06,-3.2271762208067942
2010-07,-2.226980728051392
2010-08,-1.809564842740198
2010-09,-1.1713665943600868
2010-10,-0.2181500872600349
2010-11,0.4809794490599038
2010-12,0.8768084173608066
2011-01,1.7699115044247788
2011-02,3.261840929401251
2011-03,4.47227191413238
2011-04,4.844444444444444
2011-05,4.9867608120035305
2011-06,5.353225098727512
2011-07,7.052124397722295
2011-08,8.731899956121106
2011-09,9.394205443371378
2011-10,9.182334936598163
2011-11,9.617058311575283
2011-12,11.299435028248588
2012-01,13.434782608695652
2012-02,13.543920380787538
2012-03,12.28595890410959
2012-04,11.869436201780417
2012-05,12.105926860025221
2012-06,12.036651395251978
2012-07,10.597381342062192
2012-08,9.644874899112187
2012-09,10.07223113964687
2012-10,11.013215859030836
2012-11,10.877332274712186
2012-12,9.488481062085123
2013-01,7.857416634725949
2013-02,8.15548780487805
2013-03,9.416698436904309
2013-04,9.928003031451308
2013-05,9.823772028496439
2013-06,9.814126394052044
2013-07,10.21087680355161
2013-08,10.89436878910563
2013-09,10.86401749908859
2013-10,10.569985569985569
2013-11,10.884353741496598
2013-12,12.196861626248216
2014-01,13.326226012793176
2014-02,13.424947145877377
2014-03,13.344947735191637
2014-04,13.478110996208203
2014-05,13.793103448275861
2014-06,14.624238320920785
2014-07,15.340718361866399
2014-08,15.333554596747428
2014-09,15.751397566589937
2014-10,16.411092985318106
2014-11,16.11236680658702
2014-12,14.844246662428482
2015-01,14.016933207902163
2015-02,14.010562286424355
2015-03,13.618198585920688
2015-04,13.061968408262453
2015-05,12.391239123912392
2015-06,11.311281748375665
2015-07,10.389988358556462
2015-08,9.841726618705037
2015-09,9.375
2015-10,8.576233183856502
2015-11,7.563959955506118
2015-12,6.58732355383338
2016-01,6.243124312431243
2016-02,6.103542234332425
2016-03,6.3852813852813854
2016-04,6.394411606663085
2016-05,5.97971169247197
2016-06,5.20031838684001
2016-07,4.350118639599262
2016-08,3.851192035630076
2016-09,3.272727272727273
2016-10,3.200826019617966
2016-11,4.162357807652533
2016-12,5.349259932485069
2017-01,6.342221071705928
2017-02,7.627118644067797
2017-03,8.341810783316378
2017-04,8.51010101010101
2017-05,8.992443324937028
2017-06,9.65952080706179
2017-07,10.131379484588175
2017-08,9.989909182643794
2017-09,9.683098591549296
predictions,10.216121416259886
