Date,CR
1996-04,13.750000000000002
1996-05,13.580246913580247
1996-06,13.414634146341465
1996-07,13.414634146341465
1996-08,14.457831325301203
1996-09,15.66265060240964
1996-10,15.476190476190476
1996-11,15.294117647058824
1996-12,15.11627906976744
1997-01,14.772727272727273
1997-02,14.606741573033707
1997-03,14.444444444444443
1997-04,14.285714285714285
1997-05,15.217391304347828
1997-06,15.053763440860216
1997-07,16.129032258064516
1997-08,14.736842105263156
1997-09,14.583333333333334
1997-10,14.432989690721648
1997-11,14.285714285714285
1997-12,14.14141414141414
1998-01,13.861386138613863
1998-02,13.725490196078432
1998-03,13.592233009708737
1998-04,13.461538461538462
1998-05,12.264150943396226
1998-06,12.149532710280374
1998-07,12.037037037037036
1998-08,11.009174311926607
1998-09,10.909090909090908
1998-10,9.90990990990991
1998-11,9.821428571428571
1998-12,9.734513274336283
1999-01,8.695652173913043
1999-02,8.620689655172415
1999-03,8.547008547008547
1999-04,7.627118644067797
1999-05,7.563025210084033
1999-06,6.666666666666667
1999-07,6.6115702479338845
1999-08,6.6115702479338845
1999-09,6.557377049180328
1999-10,6.557377049180328
1999-11,6.504065040650407
1999-12,5.64516129032258
2000-01,5.6000000000000005
2000-02,4.761904761904762
2000-03,4.724409448818897
2000-04,4.724409448818897
2000-05,4.6875
2000-06,4.6875
2000-07,4.651162790697675
2000-08,4.651162790697675
2000-09,3.8461538461538463
2000-10,4.615384615384616
2000-11,4.580152671755725
2000-12,4.580152671755725
2001-01,4.545454545454546
2001-02,4.545454545454546
2001-03,4.511278195488721
2001-04,4.511278195488721
2001-05,4.477611940298507
2001-06,5.223880597014925
2001-07,4.444444444444445
2001-08,4.444444444444445
2001-09,5.185185185185185
2001-10,5.147058823529411
2001-11,5.109489051094891
2001-12,5.109489051094891
2002-01,5.797101449275362
2002-02,6.521739130434782
2002-03,6.474820143884892
2002-04,7.194244604316546
2002-05,7.142857142857142
2002-06,7.092198581560284
2002-07,7.801418439716312
2002-08,8.51063829787234
2002-09,8.450704225352112
2002-10,8.391608391608392
2002-11,7.638888888888889
2002-12,8.333333333333332
2003-01,8.21917808219178
2003-02,8.16326530612245
2003-03,7.4324324324324325
2003-04,7.38255033557047
2003-05,8.0
2003-06,7.9470198675496695
2003-07,7.894736842105263
2003-08,8.49673202614379
2003-09,8.441558441558442
2003-10,9.032258064516128
2003-11,10.32258064516129
2003-12,10.256410256410255
2004-01,10.126582278481013
2004-02,10.69182389937107
2004-03,11.949685534591195
2004-04,12.5
2004-05,12.345679012345679
2004-06,12.883435582822086
2004-07,12.804878048780488
2004-08,13.253012048192772
2004-09,14.37125748502994
2004-10,14.201183431952662
2004-11,14.035087719298245
2004-12,15.11627906976744
2005-01,15.517241379310345
2005-02,15.340909090909092
2005-03,15.730337078651685
2005-04,16.11111111111111
2005-05,16.483516483516482
2005-06,16.847826086956523
2005-07,18.37837837837838
2005-08,17.5531914893617
2005-09,17.277486910994764
2005-10,17.098445595854923
2005-11,16.923076923076923
2005-12,15.656565656565657
2006-01,14.427860696517413
2006-02,13.793103448275861
2006-03,12.62135922330097
2006-04,11.004784688995215
2006-05,9.90566037735849
2006-06,8.837209302325581
2006-07,7.30593607305936
2006-08,6.787330316742081
2006-09,6.25
2006-10,5.752212389380531
2006-11,4.824561403508771
2006-12,4.8034934497816595
2007-01,4.782608695652174
2007-02,3.896103896103896
2007-03,3.4482758620689653
2007-04,3.4482758620689653
2007-05,2.575107296137339
2007-06,1.7094017094017095
2007-07,0.851063829787234
2007-08,0.0
2007-09,-1.680672268907563
2007-10,-2.928870292887029
2007-11,-3.765690376569038
2007-12,-4.583333333333333
2008-01,-5.394190871369295
2008-02,-5.833333333333333
2008-03,-6.666666666666667
2008-04,-7.5
2008-05,-7.949790794979079
2008-06,-8.823529411764707
2008-07,-9.282700421940929
2008-08,-10.16949152542373
2008-09,-9.82905982905983
2008-10,-9.913793103448276
2008-11,-10.0
2008-12,-10.043668122270741
2009-01,-10.087719298245613
2009-02,-9.29203539823009
2009-03,-8.928571428571429
2009-04,-9.00900900900901
2009-05,-9.545454545454547
2009-06,-8.755760368663594
2009-07,-8.372093023255815
2009-08,-7.547169811320755
2009-09,-8.056872037914692
2009-10,-8.133971291866029
2009-11,-7.729468599033816
2009-12,-8.25242718446602
2010-01,-8.780487804878048
2010-02,-10.24390243902439
2010-03,-11.27450980392157
2010-04,-10.891089108910892
2010-05,-10.552763819095476
2010-06,-10.606060606060606
2010-07,-11.16751269035533
2010-08,-11.73469387755102
2010-09,-11.34020618556701
2010-10,-10.9375
2010-11,-10.471204188481675
2010-12,-8.994708994708994
2011-01,-8.02139037433155
2011-02,-6.521739130434782
2011-03,-4.972375690607735
2011-04,-3.3333333333333335
2011-05,-1.1235955056179776
2011-06,1.1299435028248588
2011-07,3.428571428571429
2011-08,6.358381502890173
2011-09,8.720930232558139
2011-10,10.526315789473683
2011-11,11.11111111111111
2011-12,11.046511627906977
2012-01,11.627906976744185
