zipcode,prediction
10025,0.37408500700985986
60657,0.2601180664077356
10023,-1.203710744190632
77494,1.7543276365154041
60614,0.5604403047761547
79936,3.02481975067211
77449,2.021341554883997
77084,2.2819709777071155
10002,-0.04727798123172089
10467,2.3828216647059968
60640,-2.2462973249283573
94109,2.048809296564154
11226,2.766891826895564
10016,0.07501499844288301
37013,4.758235989822408
32162,3.6115859753895645
11375,0.6864168847408341
11235,2.6373844051608026
78660,2.2962327264764824
90250,0.96112844877728
60647,-0.39624359220388317
37211,3.8451442126278836
10029,0.1513157182315366
10009,2.3641172480492054
60618,-1.6374657861241089
10011,0.9269523434406679
77573,2.3898995587759124
10128,0.6231674205138961
77584,2.509116527669655
28269,3.008684735143925
20002,2.2335316361528585
78130,2.6083918106848296
30349,4.150579662568665
78572,3.155452772946804
94565,3.802590096033592
79912,1.7202968534813683
90046,-0.022220045041285497
78613,2.0210534359572483
75052,4.41058219307976
20009,0.8389982691397772
37042,4.803532866216032
77433,1.1870860882353014
73099,1.0449996401154622
10003,-0.6255360244101562
77429,1.6561497529397662
77479,1.735549085232406
63376,3.5364706424575436
60613,-0.546780999042404
30044,4.2496298611463175
77036,-0.23163670277942217
11230,2.403479487555531
10463,0.20828163010793804
30043,3.0791085325207668
60629,1.3627584658089262
11209,1.0713998465876078
60625,-2.4937894713486415
07030,-1.6823252724716886
28277,0.4479991049933523
75287,1.4342958425621601
10024,1.6085688770200997
85032,2.3590729280298754
78704,2.8511043135069727
33160,1.6064138600658404
77077,0.027691068985401968
78245,4.797910307630777
21234,2.4924098441595195
23464,1.486268372244194
30096,5.316576937587711
78521,3.4682875611316684
75243,4.231511631826964
11214,1.779678136060318
98052,0.4170724801666973
94501,-0.8283165277432181
08701,0.6035805147000671
11221,3.475258110011703
60610,-0.1550558009797871
11207,4.511619584513373
11229,3.6469065074498266
77379,1.9103615420151707
78666,5.668286278410947
10019,-0.10570258451860426
30024,2.5660323418192252
94110,3.5626362164442735
60619,1.038835432642061
33139,-1.363289920279745
33411,2.216231245500448
90034,0.9032727978035651
44107,4.273951523195265
78745,3.823707884239754
75067,4.60248477577954
33025,2.7004335958661736
11377,3.324642633641269
48197,5.976106276585415
02169,3.1721798437918727
66062,3.553486623951641
23462,1.8029605798035047
90044,1.8539165849930979
44035,2.5966103540944836
95630,1.6160941183825976
90805,1.5109790009375115
90650,0.54205501846645
11234,2.0413020567391524
92683,3.2822339103409366
85710,2.8828498164777256
28027,2.986542924656443
11355,4.960285878214664
10314,3.7595543012238046
37075,2.1799308838816844
60617,2.25756774802949
90026,2.442424696914082
30281,4.557286697068077
32210,5.3216526894022556
85225,2.141161635441845
11215,0.29859704496828776
94558,2.041522411141874
11211,0.9735116010665164
80134,1.6771649858825541
91910,1.3136408779025677
87114,2.486592252954903
06010,0.39272506126171547
78240,1.6870172743863707
17603,4.043837686456923
85308,1.0591558027257926
