Date,CR
1996-04,-6.2023939064200215
1996-05,-5.622932745314222
1996-06,-5.022321428571429
1996-07,-4.401805869074492
1996-08,-3.6488027366020526
1996-09,-2.991944764096663
1996-10,-2.320185614849188
1996-11,-1.7523364485981308
1996-12,-1.0575793184488838
1997-01,-0.47225501770956313
1997-02,0.1183431952662722
1997-03,0.7117437722419928
1997-04,1.3064133016627077
1997-05,1.9024970273483945
1997-06,2.375296912114014
1997-07,2.8469750889679712
1997-08,2.955082742316785
1997-09,3.0624263839811543
1997-10,2.9308323563892147
1997-11,2.9171528588098017
1997-12,2.784222737819025
1998-01,2.768166089965398
1998-02,2.755453501722158
1998-03,2.857142857142857
1998-04,3.0751708428246016
1998-05,3.2879818594104306
1998-06,3.3860045146726865
1998-07,3.479236812570146
1998-08,3.5754189944134076
1998-09,3.5555555555555554
1998-10,3.535911602209945
1998-11,3.4028540065861685
1998-12,3.4934497816593884
1999-01,3.470715835140998
1999-02,3.6677454153182305
1999-03,3.969957081545064
1999-04,4.375667022411953
1999-05,4.777070063694268
1999-06,5.168776371308017
1999-07,5.450733752620545
1999-08,5.6191467221644125
1999-09,5.779153766769865
1999-10,5.828220858895705
1999-11,5.8763931104356635
1999-12,5.817452357071214
2000-01,6.063618290258449
2000-02,6.403940886699508
2000-03,6.634146341463415
2000-04,6.956521739130435
2000-05,7.368421052631578
2000-06,7.677725118483412
2000-07,7.872539831302718
2000-08,7.962962962962964
2000-09,7.959743824336687
2000-10,7.8590785907859075
2000-11,7.575757575757576
2000-12,7.570422535211267
2001-01,7.558644656820157
2001-02,7.632933104631218
2001-03,7.796610169491526
2001-04,8.040201005025125
2001-05,8.450704225352112
2001-06,8.674304418985269
2001-07,8.723747980613894
2001-08,8.60557768924303
2001-09,8.49056603773585
2001-10,8.217054263565892
2001-11,7.868601986249045
2001-12,7.680722891566265
2002-01,7.6523031203566125
2002-02,7.850330154071901
2002-03,8.115942028985506
2002-04,8.45272206303725
2002-05,8.923512747875353
2002-06,9.65034965034965
2002-07,10.628019323671497
2002-08,11.768707482993197
2002-09,13.002680965147453
2002-10,14.398943196829592
2002-11,15.539661898569571
2002-12,16.007653061224488
2003-01,15.782907049282596
2003-02,14.911746804625684
2003-03,13.582443653618032
2003-04,12.066974595842957
2003-05,10.52335396736072
2003-06,9.180868609125893
2003-07,8.135775862068966
2003-08,7.25635593220339
2003-09,6.684073107049608
2003-10,6.233900051519836
2003-11,6.008146639511202
2003-12,5.94159113796576
2004-01,5.929247633283508
2004-02,6.172839506172839
2004-03,6.510034263338229
2004-04,6.9835111542192045
2004-05,7.588856868395773
2004-06,8.317490494296578
2004-07,9.172154280338663
2004-08,10.046511627906977
2004-09,10.98345588235294
2004-10,11.695376246600182
2004-11,12.053571428571429
2004-12,11.978938130759104
2005-01,11.632916846186989
2005-02,10.989010989010989
2005-03,9.979296066252589
2005-04,8.806818181818182
2005-05,7.450199203187251
2005-06,6.073667711598746
2005-07,4.747201852566577
2005-08,3.5034272658035035
2005-09,2.4849397590361444
2005-10,1.6784781797836628
2005-11,1.1123470522803114
2005-12,0.4802364240857037
2006-01,-0.36845983787767134
2006-02,-1.3612950699043413
2006-03,-2.5349008082292435
2006-04,-3.8884812912692595
2006-05,-5.243857719105244
2006-06,-6.213235294117647
2006-07,-6.730769230769231
2006-08,-6.975009324878776
2006-09,-7.048624199019978
2006-10,-6.755725190839694
2006-11,-6.230650154798761
2006-12,-5.723245785966288
2007-01,-5.233941316415543
2007-02,-4.450681635926223
2007-03,-3.40632603406326
2007-04,-2.5787965616045847
2007-05,-2.269913330581923
2007-06,-2.2453222453222454
2007-07,-2.3849372384937237
2007-08,-2.9374737725556024
2007-09,-3.7783375314861463
2007-10,-4.411764705882353
2007-11,-4.77195945945946
2007-12,-5.146746065504041
2008-01,-5.572224603514788
2008-02,-5.750108084738435
2008-03,-5.802792321116929
2008-04,-6.065934065934066
2008-05,-6.563192904656319
2008-06,-6.681614349775784
2008-07,-6.400363141171131
2008-08,-6.238532110091743
2008-09,-6.391848077813803
2008-10,-6.457650912494151
2008-11,-6.312292358803987
2008-12,-6.2950504565112935
2009-01,-5.965082444228904
2009-02,-4.794520547945205
2009-03,-2.9688273132112815
2009-04,-1.0505252626313157
2009-05,0.7092198581560284
2009-06,2.41025641025641
2009-07,3.403816400206292
2009-08,3.545734840698869
2009-09,2.039775624681285
2009-10,-0.6572295247724975
2009-11,-2.61569416498994
2009-12,-3.0545818728092136
2010-01,-3.3416458852867827
2010-02,-5.0124069478908195
2010-03,-5.897051474262868
2010-04,-4.681933842239186
2010-05,-3.0475206611570247
2010-06,-3.977272727272727
2010-07,-5.830753353973169
2010-08,-6.530825496342738
2010-09,-6.691449814126393
2010-10,-7.901761879337961
2010-11,-9.802876931273309
2010-12,-10.919849381387843
2011-01,-11.068493150684931
2011-02,-10.173281162660704
2011-03,-9.391007398975526
2011-04,-8.521739130434783
2011-05,-6.910809214412287
2011-06,-5.132850241545894
2011-07,-4.3746149106592735
2011-08,-4.418170504044804
2011-09,-3.2035175879396984
2011-10,-1.0139416983523446
2011-11,1.5862944162436547
2011-12,4.583068109484405
2012-01,7.796391752577319
2012-02,9.700520833333332
2012-03,9.149902660609992
2012-04,7.042253521126761
2012-05,4.747033104309806
2012-06,3.712720632988436
2012-07,4.363419007770472
2012-08,7.121661721068249
2012-09,11.17717003567182
2012-10,14.772727272727273
2012-11,16.100178890876567
2012-12,14.964788732394366
2013-01,11.970217640320733
2013-02,7.977839335180055
2013-03,4.491978609625669
2013-04,1.771756122980719
2013-05,-0.35952747817154596
2013-06,-0.3062787136294028
2013-07,0.6649616368286445
2013-08,0.5643919958953308
2013-09,0.255885363357216
2013-10,1.0240655401945724
2013-11,1.804123711340206
2013-12,0.9216589861751152
2014-01,0.7113821138211381
2014-02,2.2448979591836733
2014-03,3.522205206738132
2014-04,3.6999493157627974
2014-05,4.050632911392405
2014-06,4.160324708269913
2014-07,4.086781029263371
2014-08,3.6926147704590817
2014-09,2.564102564102564
2014-10,1.270772238514174
2014-11,0.09732360097323602
2014-12,-0.6332196785192401
2015-01,-1.3087736306349975
2015-02,-1.7324350336862366
2015-03,-1.6346153846153848
2015-04,-1.0135135135135136
2015-05,-0.3889158969372873
2015-06,0.29411764705882354
2015-07,0.4911591355599214
2015-08,0.2448579823702253
2015-09,-0.1466275659824047
2015-10,0.09751340809361286
2015-11,1.7569546120058566
2015-12,3.714565004887586
2016-01,5.2297165200391005
2016-02,6.692721055202735
2016-03,8.3210964268233
2016-04,9.303458353628837
2016-05,9.304556354916068
2016-06,8.8124410933082
2016-07,7.524384579656293
2016-08,5.815018315018315
2016-09,4.383190239493899
2016-10,3.297682709447415
2016-11,2.457218078104432
2016-12,2.122130792550888
2017-01,2.462203023758099
2017-02,3.072263089571614
2017-03,3.982683982683983
2017-04,4.486626402070751
2017-05,3.8115631691648826
2017-06,2.374893977947413
2017-07,2.0236087689713322
2017-08,2.2670025188916876
2017-09,1.9150707743547042
2017-10,1.8166804293971925
2017-11,2.392739273927393
2017-12,2.9826014913007457
2018-01,3.0165289256198347
2018-02,2.668308702791461
2018-03,2.287581699346405
predictions,2.151364445484139
