Date,CR
1996-04,5.362537764350453
1996-05,5.900151285930408
1996-06,6.444275966641396
1996-07,6.838905775075988
1996-08,7.235338918507235
1996-09,7.557251908396946
1996-10,7.957153787299158
1996-11,8.192955589586525
1996-12,8.499234303215927
1997-01,8.792048929663608
1997-02,9.007633587786259
1997-03,9.31297709923664
1997-04,9.610983981693364
1997-05,9.900990099009901
1997-06,10.106382978723403
1997-07,10.227272727272728
1997-08,10.42296072507553
1997-09,10.601503759398497
1997-10,10.612855007473842
1997-11,10.846953937592868
1997-12,10.980103168754605
1998-01,11.021897810218977
1998-02,11.231884057971014
1998-03,11.59942363112392
1998-04,11.97132616487455
1998-05,12.5
1998-06,13.034188034188036
1998-07,13.726884779516357
1998-08,14.417613636363635
1998-09,15.117104329311568
1998-10,15.875265768958185
1998-11,16.70205237084218
1998-12,17.431192660550458
1999-01,18.130709768095574
1999-02,18.76750700280112
1999-03,19.41340782122905
1999-04,19.90257480862909
1999-05,20.235620235620235
1999-06,20.634920634920633
1999-07,20.962199312714777
1999-08,21.203830369357046
1999-09,21.41400407885792
1999-10,21.756756756756758
1999-11,22.05093833780161
1999-12,22.377158034528552
2000-01,22.682445759368836
2000-02,23.192182410423452
2000-03,23.692704970949
2000-04,24.327784891165173
2000-05,24.952380952380953
2000-06,25.645872715816004
2000-07,26.391494684177612
2000-08,27.250155183116075
2000-09,28.236744759556103
2000-10,29.296636085626908
2000-11,30.442692540933898
2000-12,31.790865384615387
2001-01,32.83759666864962
2001-02,33.9622641509434
2001-03,35.2046783625731
2001-04,36.56413232733604
2001-05,38.04034582132565
2001-06,39.64530892448512
2001-07,41.53409090909091
2001-08,43.566591422121896
2001-09,45.40873460246361
2001-10,47.05882352941176
2001-11,48.43492586490939
2001-12,49.701573521432444
2002-01,51.12540192926045
2002-02,52.67054468535166
2002-03,54.64509394572025
2002-04,56.90010298661174
2002-05,59.34959349593496
2002-06,61.98595787362087
2002-07,64.52251360712519
2002-08,66.78048780487805
2002-09,68.75
2002-10,70.05676442762535
2002-11,70.5718270571827
2002-12,70.40583675330598
2003-01,70.12987012987013
2003-02,69.85035211267606
2003-03,69.55017301038062
2003-04,69.31576710582236
2003-05,69.10229645093946
2003-06,68.74231872183532
2003-07,68.24568446407065
2003-08,67.49213836477988
2003-09,66.6923373122834
2003-10,65.84905660377358
2003-11,64.70588235294117
2003-12,63.13881841246829
2004-01,61.13475177304964
2004-02,58.815379286456526
2004-03,56.260546743165705
2004-04,53.49524122087299
2004-05,50.51020408163265
2004-06,47.306501547987615
2004-07,43.849624060150376
2004-08,40.09944428195379
2004-09,36.495726495726494
2004-10,33.21279554937413
2004-11,30.41700735895339
2004-12,27.936847738827936
2005-01,25.769939457752038
2005-02,23.6071521119461
2005-03,21.377551020408163
2005-04,18.97590361445783
2005-05,16.39506172839506
2005-06,13.66836610827871
2005-07,10.713433548079216
2005-08,7.55691152311664
2005-09,4.458304458304458
2005-10,1.4562002275312855
2005-11,-1.302785265049416
2005-12,-3.8880248833592534
2006-01,-6.338028169014084
2006-02,-8.854961832061068
2006-03,-11.555075593952484
2006-04,-14.58199700662818
2006-05,-17.627118644067796
